conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/978ae3a2-0831-415a-8396-b84dde656fc5,7531.5,krawiec odzieży męskiej / krawcowa odzieży męskiej,0.0
Occupation,http://data.europa.eu/esco/occupation/bd206ee9-61d6-45de-a369-0c71b8429efa,7531.6,perukarz,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7531,7531,"Krawcy, kuśnierze i kapelusznicy",0.009803921568627449
Occupation,http://data.europa.eu/esco/occupation/760ad7dd-f29d-4e4d-be1f-15100550ab80,7532.1,konstruktor odzieży – operator CAD,0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/928dd410-c74b-4dab-94b8-fcbdcf541bd1,7532.2,krojczy,0.0
Occupation,http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,7532.3,krawiec-modelarz,0.0
Occupation,http://data.europa.eu/esco/occupation/196a4c75-9591-436f-9677-67252df34c22,7532.4,wykonawca cyfrowych prototypów odzieży,0.0
Occupation,http://data.europa.eu/esco/occupation/29900d8d-4463-4a6e-b6aa-e97418700245,7532.5,konstruktor wyrobów skórzanych - operator CAD,0.0625
Occupation,http://data.europa.eu/esco/occupation/5157706c-3fce-420e-9e7f-863000af5397,7532.6,konstruktor wyrobów skórzanych,0.0526315789473684
Occupation,http://data.europa.eu/esco/occupation/18232485-5f8b-4c53-80f2-3d9f8f9d0e20,7532.7,konstruktor odzieży,0.0357142857142857
ISCO level 4,http://data.europa.eu/esco/isco/C7532,7532,"Konstruktorzy odzieży, krojczowie i pokrewni",0.02995277058191697
Occupation,http://data.europa.eu/esco/occupation/8918dda6-d99b-4572-a8ba-2a786bf5e4e9,7533.1,wytwórca lalek,0.0
Occupation,http://data.europa.eu/esco/occupation/7324e9f5-0f94-497e-af2f-42142e939a94,7533.2,hafciarz/hafciarka,0.0
Occupation,http://data.europa.eu/esco/occupation/7c6fc2f0-6e16-4429-8190-f6faac0c3853,7533.3,rękawicznik,0.0
Occupation,http://data.europa.eu/esco/occupation/28b25dbf-1eab-45e8-9d02-7a5eea9bb139,7533.4,wytwórca wyrobów tekstylnych,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/517c01aa-e875-4690-bf38-17307a57eafe,7533.5,szwacz/szwaczka,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7533,7533,"Szwaczki, hafciarki i pokrewni",0.01428571428571428
Occupation,http://data.europa.eu/esco/occupation/c932109b-3e4f-43aa-b346-1ea421da0adb,7534.1,monter wyposażenia wnętrz samolotów,0.0
Occupation,http://data.europa.eu/esco/occupation/92dc335d-a116-416f-ad2b-257e5382e574,7534.2,wytwórca materacy metodą rzemieślniczą,0.0
Occupation,http://data.europa.eu/esco/occupation/cd3f5356-a16f-4aca-9d4b-ceba2b2afec5,7534.3.1,tapicer meblowy,0.0
Occupation,http://data.europa.eu/esco/occupation/423f4021-322b-4257-9a4e-d6ee5d166fbc,7534.3.2,tapicer jachtowy,0.0
Occupation,http://data.europa.eu/esco/occupation/c9874f14-5474-43f6-b4a2-77a94f9abfb3,7534.3.3,tapicer samochodowy,0.0
Occupation,http://data.europa.eu/esco/occupation/69c24e54-567c-4415-b59b-cda97fdbc50c,7534.3.4,tapicer kolejowy,0.0
Occupation,http://data.europa.eu/esco/occupation/95a89206-4dc8-4753-a5d9-bc14a0e5f7ca,7534.3,tapicer,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7534,7534,Tapicerzy i pokrewni,0.0
Occupation,http://data.europa.eu/esco/occupation/e6eea1ed-e982-4583-bafe-a0ac796f6cf1,7535.1,sortowacz skór,0.0526315789473684
Occupation,http://data.europa.eu/esco/occupation/1ce76c3b-edee-41b4-88c2-5db9b70d8bf0,7535.2,garbarz,0.0416666666666666
ISCO level 4,http://data.europa.eu/esco/isco/C7535,7535,Wyprawiacze i garbarze skór i pokrewni,0.047149122807017496
Occupation,http://data.europa.eu/esco/occupation/8f592e05-8035-4646-b33e-a4ea2c2314e3,7536.1.1,pracownik wykańczalni wyrobów skórzanych,0.125
Occupation,http://data.europa.eu/esco/occupation/1d188cae-90e9-4950-9666-3e1a9500de50,7536.1.2,wykrawacz wyrobów skórzanych,0.0952380952380952
Occupation,http://data.europa.eu/esco/occupation/e666c384-2a14-4cd9-981f-7067dc0bb9a9,7536.1.3,szwacz ręczny wyrobów skórzanych/szwaczka ręczna wyrobów skórzanych,0.0
Occupation,http://data.europa.eu/esco/occupation/24e9f120-eae8-411a-8daf-c48e8ae2f5f6,7536.1,formowacz wyrobów skórzanych,0.0666666666666666
Occupation,http://data.europa.eu/esco/occupation/07ba3429-cccd-435b-a7d0-c02ba962bbd9,7536.2.1,obuwnik miarowy,0.064516129032258
Occupation,http://data.europa.eu/esco/occupation/40d76b2c-b917-4bf1-95b3-191f11472e67,7536.2.2,technik konstruktor obuwia 3D,0.064516129032258
Occupation,http://data.europa.eu/esco/occupation/3fa9a480-ceb3-4c2a-8a91-0508e1bb6ba5,7536.2.3,konstruktor-modelarz obuwia operator CAD,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/ce594060-b05a-45d8-ac41-1cf3bb980085,7536.2.4,obuwnik szwacz ręczny,0.142857142857142
Occupation,http://data.europa.eu/esco/occupation/93aa611c-a58c-43ff-bc34-6e201dfdd0dd,7536.2.5,obuwnik-modelarz,0.0909090909090909
Occupation,http://data.europa.eu/esco/occupation/0a5001af-ce4b-4787-92e8-62af70089e53,7536.2.6,obuwnik montażysta,0.04
Occupation,http://data.europa.eu/esco/occupation/15419750-d6e6-4ab8-a77b-b42794f2e168,7536.2.7,obuwnik ortopedyczny,0.074074074074074
Occupation,http://data.europa.eu/esco/occupation/dc9b98da-c389-4caf-a21a-c6f8c530c0bf,7536.2.8,szewc,0.0
Occupation,http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,7536.2,obuwnik,0.0869565217391304
ISCO level 4,http://data.europa.eu/esco/isco/C7536,7536,Obuwnicy i pokrewni,0.07093557084440666
ISCO level 3,http://data.europa.eu/esco/isco/C754,754,Inni rzemieślnicy i robotnicy dziedzin pokrewnych,0.027375514534578566
Occupation,http://data.europa.eu/esco/occupation/5a596834-bc8f-4273-8d09-006957b60347,7541.1,nurek techniczny,0.04
Occupation,http://data.europa.eu/esco/occupation/204c8b13-f5de-4e39-bd23-86ff8cf89b4d,7541.2,nurek poławiacz zasobów morskich,0.0
Occupation,http://data.europa.eu/esco/occupation/bcc199fe-f7df-42a5-bd45-e33ae6160f26,7541.3,płetwonurek ratownik,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7541,7541,Nurkowie,0.013333333333333334
Occupation,http://data.europa.eu/esco/occupation/2aae7736-f58b-4027-8de4-6884281c3b0b,7542.1,strzałowy,0.05
ISCO level 4,http://data.europa.eu/esco/isco/C7542,7542,Górnicy strzałowi,0.05
Occupation,http://data.europa.eu/esco/occupation/3a75b477-e151-40fb-9909-b3641401bfed,7543.1,operator automatycznej inspekcji optycznej,0.0285714285714285
Occupation,http://data.europa.eu/esco/occupation/295dbed9-0330-42af-8650-f9296c6eb195,7543.2,kierowca doświadczalny,0.04
Occupation,http://data.europa.eu/esco/occupation/43eb6228-8241-47d6-875e-7ccc214291d5,7543.3,kontroler stanu akumulatorów,0.05
Occupation,http://data.europa.eu/esco/occupation/b2cac4bc-abb7-41b3-a515-2ad006b8ebf6,7543.4,kontroler jakości tablic kontrolnych,0.02
Occupation,http://data.europa.eu/esco/occupation/82d75f3b-644a-4582-ad6b-a2a1833e44cb,7543.5,specjalista kontroli z użyciem badań nieniszczących,0.0
Occupation,http://data.europa.eu/esco/occupation/2555a1bc-9f30-4371-9499-64793e48cd55,7543.6,kontroler obwodów drukowanych,0.0416666666666666
Occupation,http://data.europa.eu/esco/occupation/b10d45f4-482d-4301-bc39-da206b17815c,7543.7.1,inspektor montażu statków powietrznych,0.0
