conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,przetwarzanie danych cyfrowych,released,,,,"Określanie, lokalizacja, pobieranie, przechowywanie, porządkowanie i analizowanie informacji cyfrowych, wraz z oceną ich adekwatności i celowości.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,dostęp do danych cyfrowych oraz ich analiza
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,rozwiązywanie problemów przy wykorzystaniu narzędzi i sprzętu ICT,released,,,,"Określenie potrzeb i zasobów cyfrowych, podejmowanie świadomych decyzji dotyczących najodpowiedniejszych narzędzi cyfrowych w zależności od celu lub potrzeby, rozwiązywanie problemów koncepcyjnych za pomocą środków cyfrowych, twórcze wykorzystanie technologii, rozwiązywanie problemów technicznych, aktualizacja kompetencji własnych i innych osób.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interakcja z wykorzystaniem technologii cyfrowych,released,skill/competence,cross-sector,interakcja w środowiskach cyfrowych,Współdziałanie za pomocą różnych technologii cyfrowych i zrozumienie odpowiednich środków komunikacji cyfrowej w danym kontekście.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,współpraca i komunikacja cyfrowa | wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,system własności intelektualnej w odniesieniu do treści cyfrowych,released,knowledge,cross-sector,przestrzeganie prawa autorskiego i licencji związanych z zasobami cyfrowymi | rozumienie prawa własności intelektualnej i licencji w zakresie zasobów cyfrowych,"Przepisy dotyczące praw autorskich i licencji mające zastosowanie do danych, informacji i treści cyfrowych.
	",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0211,tworzenie treści cyfrowych | techniki audiowizualne i produkcja medialna
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,zarządzanie tożsamością cyfrową,released,skill/competence,cross-sector,ochrona tożsamości cyfrowej,"Tworzyć co najmniej jedną tożsamość cyfrową i zarządzać nią, chronić swoją reputację, pracować z danymi tworzonymi przez siebie przy użyciu kilku narzędzi, środowisk i usług cyfrowych.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,współpraca i komunikacja cyfrowa | pracować z urządzeniami i aplikacjami cyfrowymi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,ochrona środowiska naturalnego przed szkodami związanymi z technologiami cyfrowymi,released,skill/competence,occupation-specific,bezpieczne dla środowiska naturalnego użytkowanie technologii cyfrowych,Mieć świadomość wpływu technologii cyfrowych i ich wykorzystania na środowisko.,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,oceniać wpływ osobistych zachowań na środowisko | zasady bezpieczeństwa ICT | przestrzeganie przepisów prawa i norm w zakresie ochrony środowiska
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,zapewnianie ochrony zdrowia i dobrostanu przy stosowaniu technologii cyfrowych,released,skill/competence,cross-sector,bezpieczne i zrównoważone użytkowanie technologii cyfrowych,Być w stanie zapobiegać zagrożeniom dla zdrowia i zagrożeniom dla dobrostanu fizycznego i psychicznego przy stosowaniu technologii cyfrowych. Być w stanie chronić siebie przed ewentualnymi zagrożeniami w środowisku cyfrowym (np. cyberprzemoc). Być świadomym technologii cyfrowych na rzecz dobrobytu społecznego i włączenia społecznego.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,zasady bezpieczeństwa ICT | przestrzeganie procedur bhp
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,chronić urządzenia ICT,released,skill/competence,cross-sector,,"Ochrona urządzeń i treści cyfrowych oraz rozumienie ryzyka i zagrożeń w środowisku cyfrowym. Znajomość środków w zakresie bezpieczeństwa i ochrony oraz należyte uwzględnianie zagadnień wiarygodności oraz prywatności. Korzystanie z narzędzi i metod, które pozwalają na maksymalizację bezpieczeństwa urządzeń ICT i informacji poprzez środki kontroli dostępu, takich jak hasła, podpisy cyfrowe, biometria i systemy ochronne, takie jak zapora sieciowa, filtry antywirusowe czy antyspamowe.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,zasady bezpieczeństwa ICT | ochrona urządzeń ict
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"przeglądanie, wyszukiwanie i filtrowanie danych, informacji i treści cyfrowych",released,skill/competence,cross-sector,,"Określanie potrzeb w zakresie informacyjnym, wyszukiwanie danych, informacji i treści w środowisku cyfrowym, dostęp do nich i nawigowanie między nimi. Tworzenie i aktualizowanie własnych strategii wyszukiwania.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"przetwarzanie danych cyfrowych | przeglądanie, wyszukiwanie i filtrowanie danych cyfrowych"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,tworzenie treści cyfrowych,released,,,tworzenie treści z wykorzystaniem oprogramowania ICT | wykorzystywanie oprogramowania ICT do tworzenia treści,"Tworzenie i edytowanie nowych treści (od przetwarzania słów do obrazów i nagrań wideo); łączenie i ponowne opracowanie wcześniejszej wiedzy i treści; tworzenie twórczych wyrażeń, danych wyjściowych dla mediów i programowanie; radzenie sobie z prawami własności intelektualnej i licencjami oraz ich stosowanie.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
