conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8,2165,inżynier geodeta,,,released,2024-01-25T15:09:58.641Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Inżynierowie geodeci określają za pomocą specjalistycznego sprzętu odległości i położenia punktów na powierzchni obiektów budowlanych. Wykorzystują pomiary konkretnych aspektów obiektów budowlanych, takich jak energia elektryczna, pomiary odległości i objętości struktur metalowych, w celu stworzenia rysunków architektonicznych i opracowania projektów budowlanych.",2165.4,"http://data.europa.eu/ux2/nace2.1/711,
http://data.europa.eu/ux2/nace2.1/F"
Occupation,http://data.europa.eu/esco/occupation/d8e5410b-5199-403f-8cbd-d32efb17a296,1420,kierownik sklepu komputerowego,kierownik sklepu elektronicznego,,released,2024-01-26T13:56:05.695Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Kierownicy sklepów komputerowych przyjmują na siebie odpowiedzialność za działania i personel w wyspecjalizowanych sklepach.,1420.4.11,http://data.europa.eu/ux2/nace2.1/474
Occupation,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,4416,asystent działu kadr,"asystentka działu kadr
pracownik do spraw socjalnych
pracownik do spraw osobowych",,released,2025-01-28T14:28:16.238Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asystenci działu kadr zapewniają wsparcie we wszystkich procesach i działaniach wykonywanych przez kierowników działu kadr. Pomagają w przygotowaniu procesów rekrutacyjnych, skanując CV i zawężając wybór do kandydatów, którzy najlepiej nadają się na dane stanowisko. Wykonują one zadania administracyjne, przygotowują komunikaty i listy oraz przedstawiają tabelaryczne zestawienia ankiet i ocen przeprowadzonych przez dany dział.",4416.1,http://data.europa.eu/ux2/nace2.1/782
Occupation,http://data.europa.eu/esco/occupation/d8ff83c0-be8b-47f9-93e3-b13e261e7da5,2114,geolog - mud logger,"mudlogger
mud logger",,released,2024-01-26T09:53:10.347Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Geolodzy (mud logger) analizują płyny wiertnicze po ich wywierceniu. Dokonują analizy płynów w laboratorium. Geolodzy (mud logger) określają stan węglowodorów w odniesieniu do głębokości. Monitorują również gaz ziemny i identyfikują litologię.,2114.1.7,"http://data.europa.eu/ux2/nace2.1/091,
http://data.europa.eu/ux2/nace2.1/06,
http://data.europa.eu/ux2/nace2.1/4313"
Occupation,http://data.europa.eu/esco/occupation/d9004a14-bda2-4c63-ab64-17ca163ac1bd,2422,asystent posła,asystent posła do Parlamentu Europejskiego,,released,2024-01-16T14:38:22.333Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asystenci posłów wspierają urzędników i polityków parlamentów regionalnych, krajowych i międzynarodowych oraz wykonują zadania logistyczne. Dokonują przeglądu dokumentów urzędowych i stosują procedury określone przez odpowiednie parlamenty. Wspierają komunikację z zainteresowanymi stronami i zapewniają wsparcie logistyczne niezbędne do obsługi procesów urzędowych.",2422.11,http://data.europa.eu/ux2/nace2.1/8411
Occupation,http://data.europa.eu/esco/occupation/d907b046-682b-45fa-bdd0-d2ed7a382670,3331,specjalista ds. importu i eksportu wyrobów tytoniowych,,,released,2024-01-26T09:55:31.07Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Specjaliści ds. importu i eksportu wyrobów tytoniowych posiadają i stosują dogłębną wiedzę na temat przywozu i wywozu towarów, w tym o odprawie celnej i dokumentacji.",3331.2.1.32,http://data.europa.eu/ux2/nace2.1/4635
Occupation,http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,1221,kierownik ds. promocji,"kierownik ds. promocji i marketingu
dyrektor ds. reklamy i promocji
kierownik ds. reklamy i promocji",,released,2024-01-25T12:14:14.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Kierownicy ds. promocji planują i wdrażają programy promocyjne w punktach sprzedaży produktów. Koordynują wszystkie wysiłki ze strony pracowników, materiałów reklamowych below the line (BTL) oraz konwencjonalnych działań reklamowych w celu zwiększenia świadomości na temat konkretnej promocji.",1221.3.3,http://data.europa.eu/ux2/nace2.1/701
Occupation,http://data.europa.eu/esco/occupation/d9612966-e295-4d81-ba2b-9f36bad0b392,2424,trener biznesu,"coach
trener rozwoju osobistego",,released,2024-01-22T11:50:47.07Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Trenerzy biznesu udzielają wskazówek pracownikom przedsiębiorstwa lub innej instytucji w celu poprawy ich efektywności osobistej, zwiększenia zadowolenia z pracy i uzyskania pozytywnego wpływu na rozwój ich kariery zawodowej w otoczeniu biznesowym. W tym celu pomagają im samodzielnie pokonać trudności. Trenerzy biznesu mają na celu realizację konkretnych zadań lub osiągnięcie konkretnych celów, w przeciwieństwie do ogólnego rozwoju.",2424.1,"http://data.europa.eu/ux2/nace2.1/702,
http://data.europa.eu/ux2/nace2.1/8559"
Occupation,http://data.europa.eu/esco/occupation/d9632b0a-3c95-4a8a-a15c-c5413beda52e,1324,kierownik do spraw importu i eksportu produktów farmaceutycznych,,,released,2024-01-26T11:37:56.851Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Kierownicy do spraw importu i eksportu produktów farmaceutycznych wdrażają i utrzymują procedury dla transgranicznej działalności gospodarczej, koordynując działania stron wewnętrznych i zewnętrznych.",1324.3.2.28,"http://data.europa.eu/ux2/nace2.1/4618,
http://data.europa.eu/ux2/nace2.1/4646"
Occupation,http://data.europa.eu/esco/occupation/d96de969-d43d-4082-8559-7fc35484a217,2412,specjalista ds. bankowości relacyjnej,"doradca klienta
specjalista ds. bankowości prywatnej
doradca ds. bankowości prywatnej",,released,2024-01-17T16:21:06.644Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Specjaliści ds. bankowości relacyjnej utrzymują i rozszerzają istniejące i przyszłe relacje z klientami. Korzystają z technik sprzedaży wiązanej, aby doradzać i sprzedawać klientom różne produkty i usługi bankowe i finansowe. Zarządzają oni ogółem relacji z klientami i odpowiadają za optymalizację wyników działalności i zadowolenia klientów.",2412.4.1,"http://data.europa.eu/ux2/nace2.1/6612,
http://data.europa.eu/ux2/nace2.1/6419"
